X,Y,fid,gbifID,datasetKey,occurrence,kingdom,phylum,class,order,family,genus,species,infraspeci,taxonRank,scientific,verbatimSc,verbatim_1,countryCod,locality,stateProvi,occurren_1,individual,publishing,decimalLat,decimalLon,coordinate,coordina_1,elevation,elevationA,depth,depthAccur,eventDate,day,month,year,taxonKey,speciesKey,basisOfRec,institutio,collection,catalogNum,recordNumb,identified,dateIdenti,license,rightsHold,recordedBy,typeStatus,establishm,lastInterp,mediaType,issue,field_51,field_52,field_53,field_54,field_55,field_56,field_57,icon_url
-78.966336,-1.32341,"1",3948312500,af42469c-4a49-43ac-99da-b6ae68b3775c,RPFCH-0153,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas flavirostris,,SPECIES,"Anas andium (P.L.Sclater & Salvin, 1873)",Anas andium,,EC,,,PRESENT,"21",c54097e6-0972-4acb-b849-eaeba29c917d,-1.32341,-78.966336,,,,,,,2022/04/07 00:00:00.000,"7","4","2022","2498068","2498065",HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,"Ministerio del Ambiente, Agua y Transición Ecológica",,,,2022-11-25T09:25:53.618Z,,COORDINATE_ROUNDED,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,,,,,,,./0.png
-78.965617,-1.322482,"2",3948312464,af42469c-4a49-43ac-99da-b6ae68b3775c,RPFCH-0004,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas flavirostris,,SPECIES,"Anas andium (P.L.Sclater & Salvin, 1873)",Anas andium,,EC,,,PRESENT,,c54097e6-0972-4acb-b849-eaeba29c917d,-1.322482,-78.965617,,,,,,,2021/08/31 00:00:00.000,"31","8","2021","2498068","2498065",HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,"Ministerio del Ambiente, Agua y Transición Ecológica",,,,2022-11-25T09:25:53.062Z,,,,,,,,,,./0.png
-78.784268,-1.377909,"3",3948312458,af42469c-4a49-43ac-99da-b6ae68b3775c,RPFCH-0001,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas flavirostris,,SPECIES,"Anas andium (P.L.Sclater & Salvin, 1873)",Anas andium,,EC,,,PRESENT,"12",c54097e6-0972-4acb-b849-eaeba29c917d,-1.377909,-78.784268,,,,,,,2020/06/04 00:00:00.000,"4","6","2020","2498068","2498065",HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,"Ministerio del Ambiente, Agua y Transición Ecológica",,,,2022-11-25T09:25:53.030Z,,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,,,,,,,,./0.png
-78.981678,-1.357193,"4",3948312453,af42469c-4a49-43ac-99da-b6ae68b3775c,RPFCH-0002,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas flavirostris,,SPECIES,"Anas andium (P.L.Sclater & Salvin, 1873)",Anas andium,,EC,,,PRESENT,"1",c54097e6-0972-4acb-b849-eaeba29c917d,-1.357193,-78.981678,,,,,,,2022/05/25 00:00:00.000,"25","5","2022","2498068","2498065",HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,"Ministerio del Ambiente, Agua y Transición Ecológica",,,,2022-11-25T09:25:52.883Z,,COORDINATE_ROUNDED,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,,,,,,,./0.png
-78.784268,-1.377909,"5",3948312367,af42469c-4a49-43ac-99da-b6ae68b3775c,RPFCH-0057,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas flavirostris,,SPECIES,"Anas andium (P.L.Sclater & Salvin, 1873)",Anas andium,,EC,,,PRESENT,"12",c54097e6-0972-4acb-b849-eaeba29c917d,-1.377909,-78.784268,,,,,,,2020/06/04 00:00:00.000,"4","6","2020","2498068","2498065",HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,"Ministerio del Ambiente, Agua y Transición Ecológica",,,,2022-11-25T09:25:51.792Z,,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,,,,,,,,./0.png
-78.980345,-1.357202,"6",3948312334,af42469c-4a49-43ac-99da-b6ae68b3775c,RPFCH-0038,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas flavirostris,,SPECIES,"Anas andium (P.L.Sclater & Salvin, 1873)",Anas andium,,EC,,,PRESENT,"1",c54097e6-0972-4acb-b849-eaeba29c917d,-1.357202,-78.980345,,,,,,,2022/05/25 00:00:00.000,"25","5","2022","2498068","2498065",HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,"Ministerio del Ambiente, Agua y Transición Ecológica",,,,2022-11-25T09:25:51.301Z,,COORDINATE_ROUNDED,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,,,,,,,./0.png
-78.784268,-1.377909,"7",3948312330,af42469c-4a49-43ac-99da-b6ae68b3775c,RPFCH-0155,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas flavirostris,,SPECIES,"Anas andium (P.L.Sclater & Salvin, 1873)",Anas andium,,EC,,,PRESENT,"12",c54097e6-0972-4acb-b849-eaeba29c917d,-1.377909,-78.784268,,,,,,,2020/06/04 00:00:00.000,"4","6","2020","2498068","2498065",HUMAN_OBSERVATION,,,,,,,CC_BY_4_0,"Ministerio del Ambiente, Agua y Transición Ecológica",,,,2022-11-25T09:25:51.224Z,,OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT,,,,,,,,./0.png
-78.561737,-0.683538,"8",3903104364,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/132478533,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas flavirostris,,SPECIES,"Anas andium (P.L.Sclater & Salvin, 1873)",Anas andium,,EC,,Cotopaxi,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-0.683538,-78.561737,216,,,,,,2022/08/26 10:34:36.000,"26","8","2022","2498068","2498065",HUMAN_OBSERVATION,iNaturalist,Observations,"132478533",,Jay,2022-08-26T23:08:51,CC_BY_NC_4_0,Jay,Jay,,,2023-01-08T06:56:58.391Z,StillImage,COORDINATE_ROUNDED,,,,,,,,./0.png
-78.473333,-0.614167,"9",3873951666,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/128004487,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas flavirostris,,SPECIES,"Anas andium (P.L.Sclater & Salvin, 1873)",Anas andium,,EC,,Pichincha,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-0.614167,-78.473333,,,,,,,2022/07/24 13:37:24.000,"24","7","2022","2498068","2498065",HUMAN_OBSERVATION,iNaturalist,Observations,"128004487",,Diego Torres Sierra,2022-07-26T15:33:57,CC_BY_NC_4_0,Diego Torres Sierra,Diego Torres Sierra,,,2023-01-08T06:56:19.741Z,StillImage,COORDINATE_ROUNDED,,,,,,,,./0.png
-78.473691,-0.614024,"10",3873408635,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/127887537,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,Anas flavirostris,,SPECIES,"Anas andium (P.L.Sclater & Salvin, 1873)",Anas andium,,EC,,Pichincha,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-0.614024,-78.473691,8,,,,,,2022/07/24 13:32:00.000,"24","7","2022","2498068","2498065",HUMAN_OBSERVATION,iNaturalist,Observations,"127887537",,David Torres,2022-07-25T19:31:22,CC_BY_NC_4_0,David Torres,David Torres,,,2023-01-08T06:56:46.669Z,StillImage,COORDINATE_ROUNDED,,,,,,,,./0.png
