X,Y,fid,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,field_51,field_52,field_53,icon_url
-78.584694,-0.111752,"1","979986713",4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS243253308,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Bartramia,Bartramia longicauda,,SPECIES,"Bartramia longicauda (Bechstein, 1812)",Bartramia longicauda,,EC,Reserva Yanacocha,Pichincha,PRESENT,"1",e2e717bf-551a-4917-bdc9-4fa0f342c530,-0.111752,-78.584694,,,,,,,1994/09/14 00:00:00,"14","9","1994","2481705","2481705",HUMAN_OBSERVATION,CLO,EBIRD,OBS243253308,,,,CC_BY_4_0,,obsr338409,,,2023-01-10T19:52:30.493Z,,COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,,,./0.png
-78.455505,-0.157467,"2","971856424",4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS218048896,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Bartramia,Bartramia longicauda,,SPECIES,"Bartramia longicauda (Bechstein, 1812)",Bartramia longicauda,,EC,Calle de las Golondrinas,Pichincha,PRESENT,"1",e2e717bf-551a-4917-bdc9-4fa0f342c530,-0.157467,-78.455505,,,,,,,2009/09/21 00:00:00,"21","9","2009","2481705","2481705",HUMAN_OBSERVATION,CLO,EBIRD,OBS218048896,,,,CC_BY_4_0,,obsr194141,,,2023-01-10T19:52:55.904Z,,COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,,,./0.png
-77.57867,-1.041841,"3","964977039",4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS210413732,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Bartramia,Bartramia longicauda,,SPECIES,"Bartramia longicauda (Bechstein, 1812)",Bartramia longicauda,,EC,Payachicta,Napo,PRESENT,"1",e2e717bf-551a-4917-bdc9-4fa0f342c530,-1.041841,-77.57867,,,,,,,2013/09/09 00:00:00,"9","9","2013","2481705","2481705",HUMAN_OBSERVATION,CLO,EBIRD,OBS210413732,,,,CC_BY_4_0,,obsr395059,,,2023-01-10T19:51:39.610Z,,COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,,,./0.png
-77.57867,-1.041841,"4","964974354",4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS210413158,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Bartramia,Bartramia longicauda,,SPECIES,"Bartramia longicauda (Bechstein, 1812)",Bartramia longicauda,,EC,Payachicta,Napo,PRESENT,"1",e2e717bf-551a-4917-bdc9-4fa0f342c530,-1.041841,-77.57867,,,,,,,2013/09/09 00:00:00,"9","9","2013","2481705","2481705",HUMAN_OBSERVATION,CLO,EBIRD,OBS210413158,,,,CC_BY_4_0,,obsr426628,,,2023-01-10T20:27:06.069Z,,COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,,,./0.png
-76.280334,-0.439735,"5","941451042",4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS183871028,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Bartramia,Bartramia longicauda,,SPECIES,"Bartramia longicauda (Bechstein, 1812)",Bartramia longicauda,,EC,Sani Lodge,Sucumbíos,PRESENT,"1",e2e717bf-551a-4917-bdc9-4fa0f342c530,-0.439735,-76.280334,,,,,,,2007/09/07 00:00:00,"7","9","2007","2481705","2481705",HUMAN_OBSERVATION,CLO,EBIRD,OBS183871028,,,,CC_BY_4_0,,obsr395059,,,2023-01-10T19:50:57.657Z,,CONTINENT_DERIVED_FROM_COORDINATES,,,,./0.png
nan,nan,"6","858785621",96c93a1e-f762-11e1-a439-00145eb45e9a,,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Bartramia,Bartramia longicauda,,SPECIES,"Bartramia longicauda (Bechstein, 1812)",Bartramia longicauda,,EC,Cerro Compania,Pichincha,PRESENT,"1",ccd1ddc0-6c21-11de-8224-b8a03c50a862,,,,,,,,,1923/09/24 00:00:00,"24","9","1923","2481705","2481705",PRESERVED_SPECIMEN,AMNH,Birds,Skin-179914,,,,CC0_1_0,,, Olalla & Sons,,Native,2023-01-11T11:02:18.517Z,,INSTITUTION_COLLECTION_MISMATCH,,,./0.png
-78.18661,-0.513947,"7","820783365",4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS172030510,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Bartramia,Bartramia longicauda,,SPECIES,"Bartramia longicauda (Bechstein, 1812)",Bartramia longicauda,,EC,Reserva Ecológica Antisana--general area (*Please consider using a more precise hotspot or personal location when possible),Napo,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,-0.513947,-78.18661,,,,,,,2012/09/22 00:00:00,"22","9","2012","2481705","2481705",HUMAN_OBSERVATION,CLO,EBIRD,OBS172030510,,,,CC_BY_4_0,,obsr89952,,,2023-01-10T19:50:39.254Z,,COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,,,./0.png
nan,nan,"8","683902616",ed3dff78-fb73-4b77-909a-b78f9ef78d34,GNM:Avex:7242,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Bartramia,Bartramia longicauda,,SPECIES,"Bartramia longicauda (Bechstein, 1812)","Bartramia longicauda  (Bechstein, 1812)","(Bechstein, 1812)",EC,"Ecuador, La Carolina, 3 miles N om Quito, 9.400 fot ö.h.",,PRESENT,,45e5c621-df96-4ea7-bbc6-aa3e53b90bb8,,,,,,,,,1922/09/09 00:00:00,"9","9","1922","2481705","2481705",PRESERVED_SPECIMEN,GNM,AVES,Av ex 7242,,,,CC0_1_0,,Ludvig Söderström,,,2023-01-11T13:21:38.347Z,,INSTITUTION_MATCH_FUZZY,INSTITUTION_COLLECTION_MISMATCH,,,./0.png
nan,nan,"9","683902615",ed3dff78-fb73-4b77-909a-b78f9ef78d34,GNM:Avex:7241,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Bartramia,Bartramia longicauda,,SPECIES,"Bartramia longicauda (Bechstein, 1812)","Bartramia longicauda  (Bechstein, 1812)","(Bechstein, 1812)",EC,"Ecuador, nära floden Guallabamba, 6.500 fot ö.h.",,PRESENT,,45e5c621-df96-4ea7-bbc6-aa3e53b90bb8,,,,,,,,,1922/09/13 00:00:00,"13","9","1922","2481705","2481705",PRESERVED_SPECIMEN,GNM,AVES,Av ex 7241,,,,CC0_1_0,,Ludvig Söderström,,,2023-01-11T13:21:38.349Z,,INSTITUTION_MATCH_FUZZY,INSTITUTION_COLLECTION_MISMATCH,,,./0.png
-78.116667,-2.316667,"10","668099906",36f15a36-6b45-442e-9c31-cd633423aee0,ae83a9c4-30b7-42f0-94c7-558eda48ab25,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Bartramia,Bartramia longicauda,,SPECIES,"Bartramia longicauda (Bechstein, 1812)",Bartramia longicauda,,EC,Macas,Morona-Santiago,PRESENT,,7b8aff00-a9f8-11d8-944b-b8a03c50a862,-2.316667,-78.116667,,,1050,,,,1939/09/09 00:00:00,"9","9","1939","2481705","2481705",PRESERVED_SPECIMEN,FMNH,Birds,"414322",,,,CC0_1_0,The Field Museum of Natural History,,,,2023-01-11T04:18:06.143Z,,COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,PRESUMED_NEGATED_LATITUDE,COLLECTION_MATCH_FUZZY,./0.png
